calories,carbs,category,name,restaurant
160,19,Sides,Macaroni and Cheese,KFC
190,22,Sides,Macaroni Salad,KFC
15,2,Salads,Marzetti Light Italian Dressing (1),KFC
120,19,Sides,Mashed Potatoes with Gravy,KFC
90,15,Sides,Mashed Potatoes without Gravy,KFC
360,11,Chicken,OR Chicken- Breast,KFC
120,3,Chicken,OR Chicken- Drumstick,KFC
250,7,Chicken,OR Chicken- Thigh,KFC
120,3,Chicken,OR Chicken- Whole Wing,KFC
160,2,Chicken,OR Chicken-Breast without skin or breading,KFC
400,37,Entrees,OR Drumstick Value Box,KFC
540,42,Entrees,OR Thigh Value Box,KFC
290,34,Desserts,Oreo® Cookies and Crème Pie Slice,KFC
70,8,Salads,Parmesan Garlic Croutons Pouch (1),KFC
680,53,Entrees,Popcorn Chicken Value Box,KFC
400,18,Chicken,Popcorn Chicken-Individual,KFC
260,12,Chicken,Popcorn Chicken-Kids,KFC
560,26,Chicken,Popcorn Chicken-Large,KFC
210,26,Sides,Potato Salad,KFC
290,35,Sides,Potato Wedges,KFC
310,31,Desserts,Reese’s® Peanut Butter Pie Slice,KFC
50,1,Sides,Sargento® Light String Cheese,KFC
260,26,Entrees,Snack-Size Bowl,KFC
420,12,Chicken,Spicy Crispy- Breast,KFC
160,5,Chicken,Spicy Crispy- Drumstick,KFC
360,13,Chicken,Spicy Crispy- Thigh,KFC
170,6,Chicken,Spicy Crispy- Whole Wing,KFC
100,21,Sides,Sweet Kernel Corn,KFC
160,21,Desserts,Sweet Life® Chocolate Chip Cookie,KFC
150,22,Desserts,Sweet Life® Oatmeal Raisin Cookie,KFC
614.3,50.12,Sandwiches,#1 Pepe®,Jimmy Johns
807.3,66.67,Sandwiches,#10 Hunter’s Club®,Jimmy Johns
765.3,68.82,Sandwiches,#11 Country Club®,Jimmy Johns
729.35,71.23,Sandwiches,#12 Beach Club®,Jimmy Johns
773.35,70.63,Sandwiches,#13 Gourmet Veggie Club®,Jimmy Johns
684.3,67.27,Sandwiches,#14 Bootlegger Club®,Jimmy Johns
843.35,72.23,Sandwiches,#15 Club Tuna®,Jimmy Johns
755.3,67.27,Sandwiches,#16 Club Lulu®,Jimmy Johns
760.3,67.22,Sandwiches,#17 Ultimate Porker™,Jimmy Johns
533.3,48.57,Sandwiches,#2 Big John®,Jimmy Johns
648.35,54.13,Sandwiches,#3 Totally Tuna®,Jimmy Johns
514.9,50.27,Sandwiches,#4 Turkey Tom®,Jimmy Johns
514.9,50.27,Sandwiches,#4 Turkey Tom®,Jimmy Johns
600.14,51.7,Sandwiches,#5 Vito®,Jimmy Johns
578.35,52.53,Sandwiches,#6 Vegetarian,Jimmy Johns
775.3,68.77,Sandwiches,#7 Gourmet Smoked Ham Club,Jimmy Johns
796.5,68.22,Sandwiches,#8 Billy Club®,Jimmy Johns
948.14,70.35,Sandwiches,#9 Italian Night Club®,Jimmy Johns
160,17,Sides,BBQ Jimmy Chips,Jimmy Johns
420.73,62.35,Sides,Chocolate Chunk Cookie,Jimmy Johns
470.1,3.92,Sandwiches,Hunter’s Club® Unwich,Jimmy Johns
2.5,0.5,Drinks,Iced Tea,Jimmy Johns
4,0.8,Drinks,Iced Tea,Jimmy Johns
634.3,48.57,Sandwiches,J.J.B.L.T.®,Jimmy Johns
150,18,Sides,Jalapeño Chips,Jimmy Johns
242.5,65,Drinks,Lemonade,Jimmy Johns
388,104,Drinks,Lemonade,Jimmy Johns
12.5,2.5,Drinks,Light Lemonade,Jimmy Johns
20,4,Drinks,Light Lemonade,Jimmy Johns
5.5,1.1,Sides,"Pickle, Spear",Jimmy Johns
22,4.4,Sides,"Pickle, Whole",Jimmy Johns
420.85,65.05,Sides,Raisin Oatmeal Cookie,Jimmy Johns
195,52.5,Drinks,Raspberry Iced Tea,Jimmy Johns
312,84,Drinks,Raspberry Iced Tea,Jimmy Johns
160,18,Sides,Regular Chips,Jimmy Johns
140,16,Sides,Sea Salt & Vinegar Chips,Jimmy Johns
505,65.55,Sandwiches,Slim 1 Ham & cheese,Jimmy Johns
424,64,Sandwiches,Slim 2 Roast Beef,Jimmy Johns
722,67.8,Sandwiches,Slim 3 Tuna salad,Jimmy Johns
401,65.1,Sandwiches,Slim 4 Turkey breast,Jimmy Johns
401,65.1,Sandwiches,Slim 4 Turkey breast,Jimmy Johns
599,65.58,Sandwiches,"Slim 5 Salami, capicola, cheese",Jimmy Johns
545,65,Sandwiches,Slim 6 Double provolone,Jimmy Johns
988.14,53.85,Sandwiches,The J.J. Gargantuan®,Jimmy Johns
739.1,7.15,Sandwiches,The J.J. Gargantuan® Unwich,Jimmy Johns
130,19,Sides,Thinny Chips,Jimmy Johns
840,49,Burgers,1/3 LB** Bacon Cheese Thickburger®,Hardee's
620,51,Burgers,1/3 LB** Cheeseburger Thickburger®,Hardee's
930,44,Burgers,1/3 LB** Frisco Thickburger®,Hardee's
470,9,Burgers,1/3 LB** Low Carb Thickburger®,Hardee's
650,47,Burgers,1/3 LB** Mushroom & Swiss Thickburger®,Hardee's
860,52,Burgers,1/3 LB** Original Thickburger®,Hardee's
1150,53,Burgers,2/3 LB** Double Thickburger®,Hardee's
1290,47,Burgers,2/3 LB** Monster Thickburger®,Hardee's
260,13,Chicken,3 Piece Hand Breaded Chicken Tenders™,Hardee's
440,21,Chicken,5 Piece Hand Breaded Chicken Tenders™,Hardee's
270,35,Desserts,Apple Turnover (without Cinnamon Sugar Topping),Hardee's
400,38,Breakfast,"Bacon, Egg & Cheese Biscuit",Hardee's
410,45,Sides,Beer Battered Onion Rings,Hardee's
810,74,Breakfast,Big Country® Breakfast Platter – Bacon*,Hardee's
450,46,Sandwiches,Big Hot Ham ‘N’ Cheese™,Hardee's
450,44,Sandwiches,Big Roast Beef™,Hardee's
410,50,Breakfast,Biscuit ‘N’ Gravy™,Hardee's
380,58,Sandwiches,Charbroiled BBQ Chicken Sandwich,Hardee's
610,55,Sandwiches,Charbroiled Chicken Club™ Sandwich,Hardee's
500,50,Breakfast,Chicken Fillet Biscuit,Hardee's
290,44,Desserts,Chocolate Chip Cookie,Hardee's
290,35,Desserts,Chocolate Chip Cookie – Fresh Baked,Hardee's
300,40,Breakfast,Cinnamon ‘N’ Raisin™ Biscuit,Hardee's
170,20,Sides,Cole Slaw (small = 1 serving),Hardee's
470,46,Breakfast,Country Fried Steak Biscuit,Hardee's
300,38,Breakfast,Country Ham Biscuit,Hardee's
480,60,French Fries,Crispy Curls™ – Large,Hardee's
410,52,French Fries,Crispy Curls™ – Medium,Hardee's
340,43,French Fries,Crispy Curls™ – Small,Hardee's
480,34,Burgers,Double Cheeseburger,Hardee's
630,52,Sandwiches,Fish Supreme Sandwich,Hardee's
370,29,Chicken,Fried Chicken Breast,Hardee's
170,15,Chicken,Fried Chicken Leg,Hardee's
330,30,Chicken,Fried Chicken Thigh,Hardee's
200,23,Chicken,Fried Chicken Wing,Hardee's
430,41,Breakfast,Frisco Breakfast Sandwich®,Hardee's
110,16,Breakfast,Grits,Hardee's
400,38,Breakfast,"Ham, Egg & Cheese Biscuit",Hardee's
680,55,Sandwiches,Hand Breaded Chicken Fillet™ Sandwich,Hardee's
780,98,Desserts,Hand-Scooped Ice Cream Malt™†,Hardee's
705,86,Desserts,Hand-Scooped Ice Cream Shake™†,Hardee's
530,49,Breakfast,Hash Rounds® – Large,Hardee's
390,36,Breakfast,Hash Rounds® – Medium,Hardee's
250,25,Breakfast,Hash Rounds® – Small,Hardee's
280,29,Sandwiches,Hot Ham ‘N’ Cheese™,Hardee's
390,46,Breakfast,Jelly Biscuit,Hardee's
380,24,Burgers,Jumbo Chili Dog,Hardee's
560,59,Kid's Meals,Kids Meal – Cheeseburger,Hardee's
380,36,Kid's Meals,Kids Meal – Chicken Tenders,Hardee's
510,58,Kid's Meals,Kids Meal – Hamburger,Hardee's
430,34,Burgers,Little Thick Cheeseburger,Hardee's
570,34,Burgers,Little Thickburger®,Hardee's
770,39,Breakfast,Loaded Breakfast Burrito,Hardee's
490,38,Breakfast,Loaded Omelet Biscuit,Hardee's
650,2,Breakfast,Low Carb Breakfast Bowl®,Hardee's
340,14,Sandwiches,Low Carb Charbroiled Chicken Club™ Sandwich,Hardee's
260,37,Breakfast,Made from Scratch Biscuit™,Hardee's
90,17,Sides,Mashed Potatoes (small = 1 serving),Hardee's
640,40,Breakfast,Monster Biscuit®,Hardee's
200,28,Kid's Meals,Natural-Cut French Fries – Kids,Hardee's
470,65,French Fries,Natural-Cut French Fries – Large,Hardee's
430,60,French Fries,Natural-Cut French Fries – Medium,Hardee's
320,45,French Fries,Natural-Cut French Fries – Small,Hardee's
460,47,Burgers,Original Turkey Burger,Hardee's
300,55,Breakfast,Pancakes* (3),Hardee's
285,56,Desserts,Peach Cobbler (small),Hardee's
300,28,Sandwiches,Regular Roast Beef Sandwich,Hardee's
470,38,Breakfast,Sausage & Egg Biscuit,Hardee's
410,38,Breakfast,Sausage Biscuit,Hardee's
120,7,Sides,Side Salad (no dressing),Hardee's
235,27,Desserts,Single Scoop Ice Cream Bowl†,Hardee's
285,37,Desserts,Single Scoop Ice Cream Cone†,Hardee's
350,32,Burgers,Small Cheeseburger,Hardee's
310,31,Burgers,Small Hamburger,Hardee's
510,39,Breakfast,Smoked Sausage Biscuit,Hardee's
440,41,Sandwiches,Spicy Chicken Sandwich,Hardee's
430,27,Breakfast,Sunrise Croissant® with Ham,Hardee's
930,59,Burgers,The Six Dollar Thickburger®,Hardee's
420,42,Sides,Add Coconut Shrimp,Joe's Crab Shack
330,27,Sides,Add Fried Shrimp,Joe's Crab Shack
260,0,Sides,Add Snow Crab,Joe's Crab Shack
90,24,Kid's Meals,Apple Sauce,Joe's Crab Shack
780,37,Salads,Aruba Chicken Salad,Joe's Crab Shack
860,60,Salads,Aruba Shrimp Salad,Joe's Crab Shack
1470,73,Seafood,Bean Town Bake,Joe's Crab Shack
980,85,Desserts,Big Cheese Cheesecake,Joe's Crab Shack
1490,144,Seafood,Big Shrimp Platter,Joe's Crab Shack
850,38,Sandwiches,Blackened Mahi Sandwich,Joe's Crab Shack
1190,44,Seafood,Blackened Tilapia,Joe's Crab Shack
80,6,Sides,Broccoli Florets,Joe's Crab Shack
190,9,Appetizers,Bucket of Shrimp,Joe's Crab Shack
270,10,Appetizers,Bucket of Shrimp,Joe's Crab Shack
450,18,Salads,Caesar Salad,Joe's Crab Shack
670,18,Salads,Caesar Salad – Chicken,Joe's Crab Shack
530,19,Salads,Caesar Salad – Shrimp,Joe's Crab Shack
220,8,Salads,Caesar Side Salad,Joe's Crab Shack
900,61,Appetizers,"Calamari, Fried",Joe's Crab Shack
1060,78,Kid's Meals,Captain’s Catch,Joe's Crab Shack
1280,105,Seafood,Caribbean Feast,Joe's Crab Shack
150,6,Kid's Meals,Celery & Ranch,Joe's Crab Shack
260,35,Kid's Meals,Cheesy Mac,Joe's Crab Shack
250,19,Sides,Cheesy New Potatoes,Joe's Crab Shack
760,42,Salads,Chicken Chipotle Caesar,Joe's Crab Shack
990,36,Sandwiches,Chicken Club Sandwich – Blackened,Joe's Crab Shack
790,36,Sandwiches,Chicken Club Sandwich – Grilled,Joe's Crab Shack
310,30,Breakfast,Bacon Breakfast Jack®,Jack in the Box
680,58,Sides,Bacon Cheddar Potato Wedges,Jack in the Box
260,3,Salads,Bacon Ranch Dressing,Jack in the Box
920,45,Burgers,Bacon Ultimate Cheeseburger™,Jack in the Box
430,35,Breakfast,"Bacon, Egg & Cheese Biscuit",Jack in the Box
190,17,Sides,Beef Taco (1 Taco),Jack in the Box
390,33,Tacos,Beef Taco (2 Tacos),Jack in the Box
570,43,Burgers,Big Cheeseburger,Jack in the Box
590,23,Kid's Meals,Chicken Dippers,Joe's Crab Shack
1010,47,Burgers,Chipotle Bacon Cheeseburger,Joe's Crab Shack
1530,225,Desserts,Chocolate Shack Attack,Joe's Crab Shack
340,50,Kid's Meals,Chocolate Sundae,Joe's Crab Shack
320,26,Appetizers,Clam Chowder,Joe's Crab Shack
790,38,Salads,Classic Cobb Salad – Chicken,Joe's Crab Shack
650,39,Salads,Classic Cobb Salad – Shrimp,Joe's Crab Shack
630,38,Salads,Classic Cobb Salad – Snow,Joe's Crab Shack
1460,90,Appetizers,Classic Sampler,Joe's Crab Shack
1230,127,Seafood,Coconut Shrimp,Joe's Crab Shack
110,13,Sides,Coleslaw,Joe's Crab Shack
30,7,Kid's Meals,Corn on the Cob,Joe's Crab Shack
570,43,Burgers,Big Cheeseburger,Jack in the Box
280,30,Breakfast,Breakfast Jack®,Jack in the Box
280,30,Kid's Meals,Breakfast Jack®,Jack in the Box
450,32,Breakfast,Breakfast Pita Pocket,Jack in the Box
520,37,Salads,Chicken Club Salad w/ Crispy Chicken Strips**,Jack in the Box
370,13,Salads,Chicken Club Salad w/ Grilled Chicken Strips**,Jack in the Box
320,33,Chicken,Chicken Fajita Pita made w/ Whole Grain (no salsa),Jack in the Box
320,33,Chicken,Chicken Fajita Pita made w/ Whole Grain (no salsa),Jack in the Box
330,35,Chicken,Chicken Fajita Pita made w/ Whole Grain (w/ salsa),Jack in the Box
410,42,Chicken,Chicken Sandwich,Jack in the Box
410,42,Sandwiches,Chicken Sandwich,Jack in the Box
470,42,Chicken,Chicken Sandwich with Bacon,Jack in the Box
470,42,Sandwiches,Chicken Sandwich with Bacon,Jack in the Box
280,26,Kid's Meals,"Chicken Strips, Crispy 2 pc.",Jack in the Box
560,53,Chicken,"Chicken Strips, Crispy 4 pc.",Jack in the Box
130,2,Kid's Meals,"Chicken Strips, Grilled 2 pc.",Jack in the Box
250,5,Chicken,"Chicken Strips, Grilled 4 pc.",Jack in the Box
580,106,Chicken,Chicken Teriyaki Bowl,Jack in the Box
690,133,Chicken,Chicken Teriyaki Bowl,Jack in the Box
70,17,Desserts,Chiquita® Apple Bites with Caramel,Jack in the Box
70,17,Sides,Chiquita® Apple Bites with Caramel,Jack in the Box
70,17,Kid's Meals,Chiquita® Apple Bites with Caramel,Jack in the Box
180,30,Drinks,Chocolate Lowfat Milk Chug 1%,Jack in the Box
300,57,Desserts,Chocolate Overload™ Cake,Jack in the Box
970,52,Salads,Crab Cake Chipotle Caesar,Joe's Crab Shack
1470,82,Entrees,Crab Cake Dinner,Joe's Crab Shack
810,40,Sandwiches,Crab Cake Sandwich,Joe's Crab Shack
510,69,Seafood,Crab Daddy Feast – excluding side of butter,Joe's Crab Shack
2000,130,Appetizers,Crab Nachos,Joe's Crab Shack
800,76,Appetizers,Crab Stuffed Mushrooms,Joe's Crab Shack
710,48,Seafood,Crab Stuffed Shrimp,Joe's Crab Shack
1400,227,Desserts,Crabby Apple Crumble,Joe's Crab Shack
860,72,Entrees,Crawfish Half ‘n Half,Joe's Crab Shack
1270,92,Appetizers,Crazy Good Crab Dip,Joe's Crab Shack
1060,100,Seafood,Crispy Shrimp,Joe's Crab Shack
1440,123,Seafood,Crunchy Catfish,Joe's Crab Shack
1060,89,Appetizers,Diablo Mussels,Joe's Crab Shack
400,0,Seafood,Dipping Butter,Joe's Crab Shack
170,30,Sides,Dirty Rice,Joe's Crab Shack
1260,96,Appetizers,Double Dip,Joe's Crab Shack
480,69,Seafood,Dungeness Crab – excluding side of butter,Joe's Crab Shack
60,14,Sides,Ear of Corn,Joe's Crab Shack
2110,143,Seafood,East Coast Platter,Joe's Crab Shack
60,10,Seafood,Fire-Grilled,Joe's Crab Shack
1430,99,Seafood,Fish & Chips,Joe's Crab Shack
1540,111,Seafood,Fish & Shrimp,Joe's Crab Shack
600,23,Kid's Meals,Fish Fingers,Joe's Crab Shack
220,3,Salads,Creamy Southwest Dressing,Jack in the Box
150,15,Sides,Egg Roll 1 pc.,Jack in the Box
440,46,Sides,Egg Roll 3 pc.,Jack in the Box
660,32,Breakfast,Extreme Sausage® Sandwich,Jack in the Box
990,112,Seafood,Fish and Chips (Seasonal) w/ large French Fries,Jack in the Box
830,90,Seafood,Fish and Chips (Seasonal) w/ medium French Fries,Jack in the Box
710,74,Seafood,Fish and Chips (Seasonal) w/ small French Fries,Jack in the Box
650,61,Sandwiches,Fish Sandwich (Seasonal),Jack in the Box
80,21,Drinks,"Flavored Iced Tea, Mango 24 fl oz.",Jack in the Box
80,20,Drinks,"Flavored Iced Tea, Peach 24 fl oz.",Jack in the Box
80,21,Drinks,"Flavored Iced Tea, Raspberry 24 fl oz.",Jack in the Box
230,30,Kid's Meals,French Fries (Kid’s),Jack in the Box
610,83,French Fries,"French Fries, large",Jack in the Box
450,61,French Fries,"French Fries, medium",Jack in the Box
330,45,French Fries,"French Fries, small",Jack in the Box
300,34,Kid's Meals,French Toast Sticks 2 pc.,Jack in the Box
600,68,Breakfast,French Toast Sticks 4 pc.,Jack in the Box
70,13,Salads,Gourmet Seasoned Croutons,Jack in the Box
620,53,Breakfast,Grilled Breakfast Sandwich,Jack in the Box
330,34,Kid's Meals,Grilled Cheese Sandwich,Jack in the Box
330,34,Sandwiches,Grilled Cheese Sandwich,Jack in the Box
250,15,Salads,Grilled Chicken Salad**,Jack in the Box
250,15,Salads,Grilled Chicken Salad**,Jack in the Box
310,16,Chicken,Grilled Chicken Strips w/ Teriyaki Dipping Sauce,Jack in the Box
1970,137,Seafood,Fisherman’s Platter,Joe's Crab Shack
370,47,Sides,French Fries,Joe's Crab Shack
300,38,Kid's Meals,French Fries,Joe's Crab Shack
1060,104,Appetizers,Fried Oysters,Joe's Crab Shack
5,0,Seafood,Garlic Herb,Joe's Crab Shack
880,81,Appetizers,Garlicky Mussels,Joe's Crab Shack
830,48,Seafood,Get Stuffed Snapper,Joe's Crab Shack
970,75,Appetizers,Great Balls of Fire,Joe's Crab Shack
540,55,Seafood,Grilled Malibu Shrimp,Joe's Crab Shack
890,66,Seafood,Grilled Sunset Salmon,Joe's Crab Shack
1450,93,Entrees,Homestyle Chicken Tenders,Joe's Crab Shack
120,10,Salads,House Side Salad,Joe's Crab Shack
700,94,Sides,Hush Puppies,Joe's Crab Shack
1210,70,Seafood,Joe’s Classic Steampot,Joe's Crab Shack
1210,70,Seafood,Joe’s Classic Steampot For 2 (Nutritionals for 1 serving),Joe's Crab Shack
50,9,Seafood,Joe’s Famous BBQ,Joe's Crab Shack
710,53,Entrees,Joe’s Steak Deal,Joe's Crab Shack
1230,162,Desserts,Key Lime Wave,Joe's Crab Shack
90,7,Kid's Meals,Kid’s Snow Crab,Joe's Crab Shack
430,68,Seafood,King Crab – excluding side of butter,Joe's Crab Shack
580,69,Seafood,Lobster Daddy Feast – excluding side of butter,Joe's Crab Shack
680,49,Seafood,Maui Mahi,Joe's Crab Shack
760,68,Kid's Meals,Mini Beach Burgers,Joe's Crab Shack
620,54,Sandwiches,"Grilled Sandwich, Deli Trio",Jack in the Box
660,53,Sandwiches,"Grilled Sandwich, Turkey, Bacon & Cheddar",Jack in the Box
290,32,Burgers,Hamburger,Jack in the Box
290,32,Kid's Meals,Hamburger,Jack in the Box
340,33,Burgers,Hamburger Deluxe,Jack in the Box
340,33,Burgers,Hamburger Deluxe,Jack in the Box
340,33,Burgers,Hamburger Deluxe,Jack in the Box
420,34,Burgers,Hamburger Deluxe with Cheese,Jack in the Box
420,34,Burgers,Hamburger Deluxe with Cheese,Jack in the Box
330,32,Burgers,Hamburger with Cheese,Jack in the Box
330,32,Kid's Meals,Hamburger with Cheese,Jack in the Box
280,26,Breakfast,Hashbrown Sticks 5 pc.,Jack in the Box
850,41,Breakfast,Hearty Breakfast Bowl,Jack in the Box
730,65,Sandwiches,Homestyle Ranch Chicken Club,Jack in the Box
160,28,Coffee,"Iced Coffee, Caramel (regular) 24 fl oz.",Jack in the Box
170,29,Coffee,"Iced Coffee, Original (regular) 24 fl oz.",Jack in the Box
170,30,Coffee,"Iced Coffee, Vanilla (regular) 24 fl oz.",Jack in the Box
530,60,Sandwiches,Jack’s Spicy Chicken®,Jack in the Box
610,61,Sandwiches,Jack’s Spicy Chicken® w/ Cheese,Jack in the Box
400,32,Burgers,Jr. Bacon Cheeseburger,Jack in the Box
400,32,Burgers,Jr. Bacon Cheeseburger,Jack in the Box
500,45,Burgers,Jumbo Jack®,Jack in the Box
500,45,Burgers,Jumbo Jack®,Jack in the Box
580,45,Burgers,Jumbo Jack® with Cheese,Jack in the Box
390,35,Kid's Meals,Mini Steampot,Joe's Crab Shack
710,68,Appetizers,Mozzarella Sticks,Joe's Crab Shack
250,22,Appetizers,New England Clam Chowder,Joe's Crab Shack
1200,72,Seafood,Old Bay Steampot,Joe's Crab Shack
470,61,Sides,Onion Strings,Joe's Crab Shack
350,75,Kid's Meals,Paint a Crab,Joe's Crab Shack
1590,110,Entrees,Pan Fried Cheesy Chicken,Joe's Crab Shack
1820,161,Entrees,Pasta-laya,Joe's Crab Shack
450,61,Kid's Meals,Pizza,Joe's Crab Shack
990,98,Seafood,Popcorn Shrimp,Joe's Crab Shack
1590,89,Seafood,Ragin’ Cajun,Joe's Crab Shack
1150,26,Entrees,Ribeye,Joe's Crab Shack
200,36,Kid's Meals,Rice,Joe's Crab Shack
470,19,Kid's Meals,Rockin Popcorn Shrimp,Joe's Crab Shack
1000,34,Seafood,Salmon Orleans,Joe's Crab Shack
1180,72,Seafood,Samuel Adams Steampot,Joe's Crab Shack
1240,167,Desserts,Sea Turtle Sundae,Joe's Crab Shack
580,45,Burgers,Jumbo Jack® with Cheese,Jack in the Box
5,1,Coffee,Kona Classic® Coffee (decaf) 12 fl oz.,Jack in the Box
